 ,#genre#
港台電視 32,http://beishan008.asuscomm.com:8892/bysid/32.m3u8
中央電視台綜合頻道（CCTV-1綜合),http://beishan008.asuscomm.com:8892/bysid/33.m3u8
中國環球電視網紀錄頻道 (CGTN紀錄頻道),http://beishan008.asuscomm.com:8892/bysid/34.m3u8





港澳台,#genre#
鳳凰中文,http://58.144.154.93/qctv.fengshows.cn/live/0701pcc72.m3u8
鳳凰資訊,http://eastscreen.tv/ooooo.php?id=fhzx
鳳凰香港,http://58.144.154.93/qctv.fengshows.cn/live/0701phk72.m3u8
麵包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8?$官源
J2,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2
澳門Macau,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
澳視澳門,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8
TVBSNEWS,http://61.221.215.25:8800/hls/9/index.m3u8
東森超視,rtmp://f13h.mine.nu/sat/tv331
八大戲劇台,http://61.221.215.25:8800/hls/39/index.m3u8
八大第1台,http://61.221.215.25:8800/hls/55/index.m3u8
八大綜合台,http://61.221.215.25:8800/hls/56/index.m3u8
非凡新聞,rtmp://f13h.mine.nu/sat/tv581
華視,rtmp://f13h.mine.nu/sat/tv111
民視,rtmp://f13h.mine.nu/sat/tv051
民視新聞,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
緯來精采,http://61.221.215.25:8800/hls/48/index.m3u8
緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來體育,rtmp://f13h.mine.nu/sat/tv721
三立戲劇台,http://61.221.215.25:8800/hls/41/index.m3u8
台視,rtmp://f13h.mine.nu/sat/tv071
台視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
中視,rtmp://f13h.mine.nu/sat/tv091
點掌財經,https://wsvideo.aniu.tv/live/aniu/playlist.m3u8



