台湾,#genre#
TVB星河,http://fm1077.serv00.net/hxds/play.php?id=tvb-xing-he
Now新闻,http://fm1077.serv00.net/hxds/play.php?id=nowxw
Now直播,http://fm1077.serv00.net/hxds/play.php?id=nowzb
Now财经,http://fm1077.serv00.net/hxds/play.php?id=nowcj
Now Sports Prime,http://fm1077.serv00.net/hxds/play.php?id=now-prime
Now Sports Premier League 1,http://fm1077.serv00.net/hxds/play.php?id=now-premier-league-1
娱乐,#genre#
BBC One,http://fm1077.serv00.net/hxds/play.php?id=bbc-one
BBC Two,http://fm1077.serv00.net/hxds/play.php?id=bbc-two
ITV 1,http://fm1077.serv00.net/hxds/play.php?id=itv-1
Channel 4,http://fm1077.serv00.net/hxds/play.php?id=channel-4
Channel 5,http://fm1077.serv00.net/hxds/play.php?id=channel-5
BBC4,http://fm1077.serv00.net/hxds/play.php?id=bbc4
ITV2,http://fm1077.serv00.net/hxds/play.php?id=itv2
ITV3,http://fm1077.serv00.net/hxds/play.php?id=itv3
ITV4,http://fm1077.serv00.net/hxds/play.php?id=itv4
ITVBe,http://fm1077.serv00.net/hxds/play.php?id=itvbe
BBC Three,http://fm1077.serv00.net/hxds/play.php?id=bbc-three
More4,http://fm1077.serv00.net/hxds/play.php?id=more4
E4,http://fm1077.serv00.net/hxds/play.php?id=e4
4seven,http://fm1077.serv00.net/hxds/play.php?id=4seven
5 Select,http://fm1077.serv00.net/hxds/play.php?id=5-select
5 Star,http://fm1077.serv00.net/hxds/play.php?id=5-star
5USA,http://fm1077.serv00.net/hxds/play.php?id=5usa
Sky Max,http://fm1077.serv00.net/hxds/play.php?id=sky-max
Sky Replay,http://fm1077.serv00.net/hxds/play.php?id=sky-replay
S Witness,http://fm1077.serv00.net/hxds/play.php?id=s-witness
S Atlantic,http://fm1077.serv00.net/hxds/play.php?id=s-atlantic
Sky Arts,http://fm1077.serv00.net/hxds/play.php?id=sky-arts
Sky Comedy,http://fm1077.serv00.net/hxds/play.php?id=sky-comedy
Great! TV,http://fm1077.serv00.net/hxds/play.php?id=great!-tv
CC,http://fm1077.serv00.net/hxds/play.php?id=cc
CC Extra,http://fm1077.serv00.net/hxds/play.php?id=cc-extra
S Showcase,http://fm1077.serv00.net/hxds/play.php?id=s-showcase
MTV,http://fm1077.serv00.net/hxds/play.php?id=mtv
Alibi,http://fm1077.serv00.net/hxds/play.php?id=alibi
W,http://fm1077.serv00.net/hxds/play.php?id=w
Gold,http://fm1077.serv00.net/hxds/play.php?id=gold
Dave,http://fm1077.serv00.net/hxds/play.php?id=dave
Quest,http://fm1077.serv00.net/hxds/play.php?id=quest
TLC,http://fm1077.serv00.net/hxds/play.php?id=tlc
Really,http://fm1077.serv00.net/hxds/play.php?id=really
Drama,http://fm1077.serv00.net/hxds/play.php?id=drama
Dave Ja Vu,http://fm1077.serv00.net/hxds/play.php?id=dave-ja-vu
DMAX,http://fm1077.serv00.net/hxds/play.php?id=dmax
Syfy,http://fm1077.serv00.net/hxds/play.php?id=syfy
Challenge,http://fm1077.serv00.net/hxds/play.php?id=challenge
CBS Reality,http://fm1077.serv00.net/hxds/play.php?id=cbs-reality
Reality Xtra,http://fm1077.serv00.net/hxds/play.php?id=reality-xtra
Legend,http://fm1077.serv00.net/hxds/play.php?id=legend
5 Action,http://fm1077.serv00.net/hxds/play.php?id=5-action
HGTV,http://fm1077.serv00.net/hxds/play.php?id=hgtv
Sky Mix,http://fm1077.serv00.net/hxds/play.php?id=sky-mix
FN,http://fm1077.serv00.net/hxds/play.php?id=fn
Together TV,http://fm1077.serv00.net/hxds/play.php?id=together-tv
DayStar,http://fm1077.serv00.net/hxds/play.php?id=daystar
Revelation TV,http://fm1077.serv00.net/hxds/play.php?id=revelation-tv
God,http://fm1077.serv00.net/hxds/play.php?id=god
QVC,http://fm1077.serv00.net/hxds/play.php?id=qvc
QVC Style,http://fm1077.serv00.net/hxds/play.php?id=qvc-style
QVC Extra,http://fm1077.serv00.net/hxds/play.php?id=qvc-extra
QVC Beauty,http://fm1077.serv00.net/hxds/play.php?id=qvc-beauty
Fashion,http://fm1077.serv00.net/hxds/play.php?id=fashion
BBC 1 Subtitles,http://fm1077.serv00.net/hxds/play.php?id=bbc-1-subtitles
BBC 2 Subtitles,http://fm1077.serv00.net/hxds/play.php?id=bbc-2-subtitles
ITV Subtitles,http://fm1077.serv00.net/hxds/play.php?id=itv-subtitles
Channel 4 Subtitles,http://fm1077.serv00.net/hxds/play.php?id=channel-4-subtitles
Channel 5 Subtitles,http://fm1077.serv00.net/hxds/play.php?id=channel-5-subtitles
BBC Four Subtitles,http://fm1077.serv00.net/hxds/play.php?id=bbc-four-subtitles
ITV2 Subtitles,http://fm1077.serv00.net/hxds/play.php?id=itv2-subtitles
生活,#genre#
音乐,#genre#
新闻,#genre#
Skynews,http://fm1077.serv00.net/hxds/play.php?id=skynews
ABC News,http://fm1077.serv00.net/hxds/play.php?id=abc-news
ETTV Business,http://fm1077.serv00.net/hxds/play.php?id=et-business
