js=https://files.catbox.moe/4dqdzg.js
臺灣 Taiwan,#genre#
Channel 8, http://?id=Channel8HD
Channel 8(備用), http://?id=Ch8_mega
Suria, http://?id=Suria
Suria(備用), http://?id=Suria_backup
Channel U, http://?id=ChannelU
Channel U(備用), http://?id=ChU_mega
Vasantham, http://?id=Vasantham
Vasantham(備用), http://?id=Vasantham_mega
CNA, http://?id=cna
CNA(備用), http://?id=cna_twn
印尼 Indonesia,#genre#
TVRI National, http://?id=TVRI
RCTI, http://?id=Rcti
Kompass TV, http://?id=Kompass
Berita Satu, http://?id=BeritaSatu_eko
Indosiar HD, http://?id=Indosiar
AnTV, http://?id=Antv
MNC TV, http://?id=Mnctv
Trans 7, http://?id=Trans7_eko
Transtv, http://?id=Transtv
JTV, http://?id=JTV_eko
Metro TV, http://?id=metrotv_eko
Cinemax, http://?id=Cinemax
SCTV, http://?id=SCTV
Tvone, http://?id=Tvone
TVMU, http://?id=TVMU_eko
GTV, http://?id=Gtv
RTV, http://?id=Rtv
Jak TV, http://?id=JakTV
iNews TV, http://?id=Inewstv
Daai TV, http://?id=DaaiTV
Net TV, http://?id=NetTV
Animax, http://?id=Animax
EWTN, http://?id=Ewtn
AlQuran AlKareem, http://?id=AlQuran
Tawaf TV, http://?id=TawafTV
Vision Prime, http://?id=VisionPrime
Muslim TV, http://?id=MuslimTV
Music TV, http://?id=MusicTV
Lifestyle&Fashion, http://?id=Lifestyle
Entertain, http://?id=Entertain
Hits, http://?id=Hits
Warner TV, http://?id=WarnerTV
SCM, http://?id=Weishimovie
Thrill, http://?id=Thrill
Fight Sports, http://?id=Fs
Beinsports 2 HD, http://?id=Bein2hd
Hits Movie, http://?id=Hitsmovie
One, http://?id=One_mega
tvN Movie, http://?id=Tvnmovie
Celestial Movies HD, http://?id=Celestialindo
Rock Actions, http://?id=Rockaction
Rock Entertainment, http://?id=Rockentertain
香港 Hongkong,#genre#
J2(備用), http://?id=j2_hkdavid
J2, http://?id=j2_twn
RHK 31, http://?id=rhk31_twn
RHK 32, http://?id=rhk32_twn
TVB 星河, http://?id=tvbxinhe_twn
VIUTV1, http://?id=viu1_twn
Viu TV 69, http://?id=viutv69_hkdavid
Viu6, http://?id=viusix_twn
iNews 新聞台, http://?id=inews_twn
無線財經資訊台, http://?id=tvbcaijing_twn
珍珠台(備用), http://?id=pearl_hkdavid
珍珠台, http://?id=pearl_twn
翡翠台(備用), http://?id=jade_mike
翡翠台, http://?id=jade_twn
鳳凰衛視, http://?id=phoenixtv_hd
鳳凰資訊, http://?id=phoenixinfo_hd
鳳凰香港, http://?id=hkphoenix_twn
中國 China,#genre#
CCTV-1, http://?id=cctv1
CCTV-2, http://?id=cctv2
CCTV-3, http://?id=cctv3
CCTV-4, http://?id=cctv4
CCTV-4, http://?id=Cctv4
CCTV-5, http://?id=cctv5
CCTV-5+, http://?id=cctv5plus
CCTV-6, http://?id=cctv6
CCTV-7, http://?id=cctv7
CCTV-8, http://?id=cctv8hd
CCTV-9, http://?id=cctv9hd
CCTV-10, http://?id=cctv10hd
CCTV-11, http://?id=cctv11
CCTV-12, http://?id=cctv12
CCTV-13, http://?id=cctv13
CCTV-14, http://?id=cctv14
CCTV-15, http://?id=cctv15
CCTV-16, http://?id=cctv16
CCTV-17, http://?id=cctv17
湖南衛視, http://?id=hunan_twn
江蘇衛視, http://?id=jiangsu_twn
深圳衛視, http://?id=shenzhen
大灣區衛視, http://?id=nanfang_twn
廣東衛視, http://?id=guangdongweishi_twn
北京衛視, http://?id=beijing
廣東珠江, http://?id=zhujiang
廣西衛視, http://?id=guangxi
湖北衛視, http://?id=hubei
四川衛視, http://?id=sichuan_twn
鳳凰衛視, http://?id=phoenixtv_hd
